idx,ppq,per_block_sample,per_block_exact_offset
355,3.7072916666666664,81746,81.7812499999959
356,3.7177083333333334,81975,183.4687499999998
357,3.728125,82205,157.15625000000108
358,3.7385416666666664,82435,386.84374999999784
359,3.7489583333333334,82665,40.53124999999744
360,3.75,82687,63.499999999996135
361,3.7604166666666665,82917,165.18750000000006
362,3.7708333333333335,83147,138.87500000000134
363,3.78125,83377,368.56249999999807
364,3.7916666666666665,83606,22.249999999997684
365,3.8020833333333335,83836,123.93750000000159
366,3.821875,84272,304.3437500000009
367,3.8322916666666664,84502,22.031249999996948
368,3.8427083333333334,84732,59.71875000000444
369,3.853125,84961,33.40624999999593
370,3.8635416666666664,85191,263.09374999999267
371,3.8739583333333334,85421,492.7812499999992
372,3.875,85444,3.749999999997189
373,3.8854166666666665,85673,41.437499999994884
374,3.8958333333333335,85903,15.125000000005961
375,3.90625,86133,244.8125000000027
376,3.9166666666666665,86362,474.49999999999943
377,3.9270833333333335,86592,0.18750000000622435
378,3.946875,87029,180.59374999999577
379,3.9572916666666664,87258,410.2812499999925
380,3.9677083333333334,87488,63.968750000001904
381,3.978125,87718,165.65624999999602
382,3.9885416666666664,87947,139.3437499999973
383,3.9989583333333334,88177,369.0312500000038
384,4.0,88200,392.0000000000025
385,4.010416666666667,88430,45.687500000002146
386,4.020833333333333,88659,147.37499999999625
387,4.03125,88889,121.06249999999754
388,4.041666666666667,89119,350.7500000000041
389,4.052083333333333,89348,4.437499999984107
390,4.071875,89785,56.84375000000039
391,4.082291666666667,90015,286.53125000000693
392,4.092708333333333,90244,4.218750000002958
393,4.103125,90474,41.906250000000654
394,4.113541666666667,90704,15.593750000021522
395,4.123958333333333,90933,245.28125000000847
396,4.125,90956,268.25000000000716
397,4.135416666666667,91186,497.9375000000137
398,4.145833333333333,91416,23.625000000000895
399,4.15625,91645,253.31250000000742
400,4.166666666666667,91875,227.0000000000087
401,4.177083333333333,92105,456.6874999999956
402,4.196875,92541,189.0937500000103
403,4.207291666666667,92771,162.78125000001157
404,4.217708333333333,93000,392.4687499999985
405,4.228125,93230,46.156249999998124
406,4.238541666666667,93460,147.84375000001182
407,4.248958333333333,93690,121.53124999999352
408,4.25,93712,144.4999999999922
409,4.260416666666667,93942,374.18749999999875
410,4.270833333333333,94172,27.874999999998362
411,4.28125,94402,129.56249999999247
412,4.291666666666667,94631,103.25000000001334
413,4.302083333333333,94861,332.9375000000003
414,4.321875,95297,65.34375000001491
415,4.332291666666667,95527,39.03125000001619
416,4.342708333333333,95757,268.7187500000031
417,4.353125,95986,498.40625000000966
418,4.363541666666667,96216,24.093750000016456
419,4.373958333333333,96446,253.7812500000034
420,4.375,96469,20.74999999999685
421,4.385416666666667,96698,250.43750000000338
422,4.395833333333333,96928,480.12499999999034
423,4.40625,97158,5.812499999997112
424,4.416666666666667,97388,235.50000000000364
425,4.427083333333333,97617,209.18749999998533
426,4.446875,98054,69.59375000001238
427,4.457291666666667,98283,171.28125000000648
428,4.467708333333333,98513,144.9687500000078
429,4.478125,98743,374.6562500000143
430,4.488541666666667,98972,28.343750000013923
431,4.498958333333333,99202,130.03125000000804
432,4.5,99225,153.00000000000674
433,4.510416666666667,99455,126.68750000000801
434,4.520833333333333,99684,356.37499999999494
435,4.53125,99914,10.062499999994579
436,4.541666666666667,100144,111.75000000000827
437,4.552083333333333,100373,85.43749999998997
438,4.571875,100810,9.84375000001343
439,4.582291666666667,101040,47.53125000001113
440,4.592708333333333,101269,21.218749999992824
441,4.603125,101499,250.90624999999935
442,4.613541666666667,101729,480.59375000000585
443,4.623958333333333,101958,6.281249999993088
444,4.625,101981,29.249999999991783
445,4.635416666666667,102211,2.9375000000126494
446,4.645833333333333,102441,232.6249999999996
447,4.65625,102670,462.31250000000614
448,4.666666666666667,102900,116.00000000000574
449,4.677083333333333,103130,217.68749999999986
450,4.696875,103566,398.093750000009
451,4.707291666666667,103796,51.7812500000086
452,4.717708333333333,104025,153.4687500000027
