idx,ppq,mixed_sample,exact_sample,role
10958,114.14583333333333,2516915,2516915.625,secondary
10959,114.15625,2517145,2517145.3125,secondary
10960,114.16666666666667,2517375,2517375.0,secondary
10961,114.17708333333333,2517604,2517604.6875,secondary
10962,114.196875,2518041,2518041.09375,secondary
10963,114.20729166666668,2518271,2518270.78125,secondary
10964,114.21770833333333,2518500,2518500.46875,secondary
10965,114.228125,2518730,2518730.15625,secondary
10966,114.23854166666668,2518960,2518959.84375,secondary
10967,114.24895833333333,2519190,2519189.53125,secondary
10968,114.25,2519212,2519212.5,primary
10969,114.26041666666667,2519442,2519442.1875,secondary
10970,114.27083333333333,2519671,2519671.875,secondary
10971,114.28125,2519901,2519901.5625,secondary
10972,114.29166666666667,2520131,2520131.25,secondary
10973,114.30208333333333,2520360,2520360.9375,secondary
10974,114.321875,2520797,2520797.34375,secondary
10975,114.33229166666668,2521027,2521027.03125,secondary
10976,114.34270833333333,2521257,2521256.71875,secondary
10977,114.353125,2521486,2521486.40625,secondary
10978,114.36354166666668,2521716,2521716.09375,secondary
10979,114.37395833333333,2521946,2521945.78125,secondary
10980,114.375,2521969,2521968.75,primary
10981,114.38541666666667,2522199,2522198.4375,secondary
10982,114.39583333333333,2522428,2522428.125,secondary
10983,114.40625,2522658,2522657.8125,secondary
10984,114.41666666666667,2522888,2522887.5,secondary
10985,114.42708333333333,2523117,2523117.1875,secondary
10986,114.446875,2523554,2523553.59375,secondary
10987,114.45729166666668,2523783,2523783.28125,secondary
10988,114.46770833333333,2524013,2524012.96875,secondary
10989,114.478125,2524243,2524242.65625,secondary
10990,114.48854166666668,2524472,2524472.34375,secondary
10991,114.49895833333333,2524702,2524702.03125,secondary
10992,114.5,2524725,2524725.0,primary
10993,114.51041666666667,2524955,2524954.6875,secondary
10994,114.52083333333333,2525184,2525184.375,secondary
10995,114.53125,2525414,2525414.0625,secondary
10996,114.54166666666667,2525644,2525643.75,secondary
10997,114.55208333333333,2525873,2525873.4375,secondary
10998,114.571875,2526310,2526309.84375,secondary
10999,114.58229166666668,2526540,2526539.53125,secondary
11000,114.59270833333333,2526769,2526769.21875,secondary
11001,114.603125,2526999,2526998.90625,secondary
11002,114.61354166666668,2527229,2527228.59375,secondary
11003,114.62395833333333,2527458,2527458.28125,secondary
11004,114.625,2527481,2527481.25,primary
11005,114.63541666666667,2527711,2527710.9375,secondary
11006,114.64583333333333,2527940,2527940.625,secondary
11007,114.65625,2528170,2528170.3125,secondary
11008,114.66666666666667,2528400,2528400.0,secondary
11009,114.67708333333333,2528629,2528629.6875,secondary
11010,114.696875,2529066,2529066.09375,secondary
11011,114.70729166666668,2529296,2529295.78125,secondary
11012,114.71770833333333,2529525,2529525.46875,secondary
11013,114.728125,2529755,2529755.15625,secondary
11014,114.73854166666668,2529985,2529984.84375,secondary
11015,114.74895833333333,2530215,2530214.53125,secondary
11016,114.75,2530238,2530237.5,primary
11017,114.76041666666667,2530468,2530467.1875,secondary
11018,114.77083333333333,2530697,2530696.875,secondary
11019,114.78125,2530927,2530926.5625,secondary
11020,114.79166666666667,2531157,2531156.25,secondary
11021,114.80208333333333,2531386,2531385.9375,secondary
11022,114.821875,2531822,2531822.34375,secondary
11023,114.83229166666668,2532052,2532052.03125,secondary
11024,114.84270833333333,2532282,2532281.71875,secondary
11025,114.853125,2532511,2532511.40625,secondary
11026,114.86354166666668,2532741,2532741.09375,secondary
11027,114.87395833333333,2532971,2532970.78125,secondary
11028,114.875,2532994,2532993.75,primary
11029,114.88541666666667,2533224,2533223.4375,secondary
11030,114.89583333333333,2533453,2533453.125,secondary
11031,114.90625,2533683,2533682.8125,secondary
11032,114.91666666666667,2533913,2533912.5,secondary
11033,114.92708333333333,2534142,2534142.1875,secondary
11034,114.946875,2534579,2534578.59375,secondary
11035,114.95729166666668,2534808,2534808.28125,secondary
11036,114.96770833333333,2535038,2535037.96875,secondary
11037,114.978125,2535268,2535267.65625,secondary
11038,114.98854166666668,2535497,2535497.34375,secondary
11039,114.99895833333333,2535727,2535727.03125,secondary
11040,115.0,2535750,2535750.0,primary
11041,115.01041666666667,2535980,2535979.6875,secondary
11042,115.02083333333333,2536209,2536209.375,secondary
11043,115.03125,2536439,2536439.0625,secondary
11044,115.04166666666667,2536669,2536668.75,secondary
11045,115.05208333333333,2536898,2536898.4375,secondary
11046,115.071875,2537335,2537334.84375,secondary
11047,115.08229166666668,2537565,2537564.53125,secondary
11048,115.09270833333333,2537794,2537794.21875,secondary
11049,115.103125,2538024,2538023.90625,secondary
11050,115.11354166666668,2538254,2538253.59375,secondary
11051,115.12395833333333,2538483,2538483.28125,secondary
11052,115.125,2538506,2538506.25,primary
11053,115.13541666666667,2538736,2538735.9375,secondary
11054,115.14583333333333,2538965,2538965.625,secondary
11055,115.15625,2539195,2539195.3125,secondary
11056,115.16666666666667,2539425,2539425.0,secondary
11057,115.17708333333333,2539654,2539654.6875,secondary
11058,115.196875,2540091,2540091.09375,secondary
11059,115.20729166666668,2540321,2540320.78125,secondary
11060,115.21770833333333,2540550,2540550.46875,secondary
11061,115.228125,2540780,2540780.15625,secondary
11062,115.23854166666668,2541010,2541009.84375,secondary
11063,115.24895833333333,2541240,2541239.53125,secondary
11064,115.25,2541262,2541262.5,primary
11065,115.26041666666667,2541492,2541492.1875,secondary
11066,115.27083333333333,2541721,2541721.875,secondary
11067,115.28125,2541951,2541951.5625,secondary
11068,115.29166666666667,2542181,2542181.25,secondary
11069,115.30208333333333,2542410,2542410.9375,secondary
11070,115.321875,2542847,2542847.34375,secondary
11071,115.33229166666668,2543077,2543077.03125,secondary
11072,115.34270833333333,2543307,2543306.71875,secondary
11073,115.353125,2543536,2543536.40625,secondary
11074,115.36354166666668,2543766,2543766.09375,secondary
11075,115.37395833333333,2543996,2543995.78125,secondary
11076,115.375,2544019,2544018.75,primary
11077,115.38541666666667,2544249,2544248.4375,secondary
11078,115.39583333333333,2544478,2544478.125,secondary
11079,115.40625,2544708,2544707.8125,secondary
11080,115.41666666666667,2544938,2544937.5,secondary
11081,115.42708333333333,2545167,2545167.1875,secondary
11082,115.446875,2545604,2545603.59375,secondary
11083,115.45729166666668,2545833,2545833.28125,secondary
11084,115.46770833333333,2546063,2546062.96875,secondary
11085,115.478125,2546293,2546292.65625,secondary
11086,115.48854166666668,2546522,2546522.34375,secondary
11087,115.49895833333333,2546752,2546752.03125,secondary
11088,115.5,2546775,2546775.0,primary
11089,115.51041666666667,2547005,2547004.6875,secondary
11090,115.52083333333333,2547234,2547234.375,secondary
11091,115.53125,2547464,2547464.0625,secondary
11092,115.54166666666667,2547694,2547693.75,secondary
11093,115.55208333333333,2547923,2547923.4375,secondary
11094,115.571875,2548360,2548359.84375,secondary
11095,115.58229166666668,2548590,2548589.53125,secondary
11096,115.59270833333333,2548819,2548819.21875,secondary
11097,115.603125,2549049,2549048.90625,secondary
11098,115.61354166666668,2549279,2549278.59375,secondary
11099,115.62395833333333,2549508,2549508.28125,secondary
11100,115.625,2549531,2549531.25,primary
11101,115.63541666666667,2549761,2549760.9375,secondary
11102,115.64583333333333,2549990,2549990.625,secondary
11103,115.65625,2550220,2550220.3125,secondary
11104,115.66666666666667,2550450,2550450.0,secondary
11105,115.67708333333333,2550679,2550679.6875,secondary
11106,115.696875,2551116,2551116.09375,secondary
11107,115.70729166666668,2551346,2551345.78125,secondary
11108,115.71770833333333,2551575,2551575.46875,secondary
11109,115.728125,2551805,2551805.15625,secondary
11110,115.73854166666668,2552035,2552034.84375,secondary
11111,115.74895833333333,2552265,2552264.53125,secondary
11112,115.75,2552288,2552287.5,primary
11113,115.76041666666667,2552518,2552517.1875,secondary
11114,115.77083333333333,2552747,2552746.875,secondary
11115,115.78125,2552977,2552976.5625,secondary
11116,115.79166666666667,2553207,2553206.25,secondary
11117,115.80208333333333,2553436,2553435.9375,secondary
11118,115.821875,2553872,2553872.34375,secondary
11119,115.83229166666668,2554102,2554102.03125,secondary
11120,115.84270833333333,2554332,2554331.71875,secondary
11121,115.853125,2554561,2554561.40625,secondary
11122,115.86354166666668,2554791,2554791.09375,secondary
11123,115.87395833333333,2555021,2555020.78125,secondary
11124,115.875,2555044,2555043.75,primary
11125,115.88541666666667,2555274,2555273.4375,secondary
11126,115.89583333333333,2555503,2555503.125,secondary
11127,115.90625,2555733,2555732.8125,secondary
